DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,58
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,154
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,29
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,9
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,11
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,39
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,28
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,114
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,12
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,14
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,325
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,34
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,74
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,172
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,128
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,78
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,292
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,10
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,7
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,178
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,18
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,28
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,70
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,24
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,104
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,164
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,122
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,4
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,49
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,125
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,5
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,81
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,16
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,61
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,84
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,16
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,38
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,28
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,17
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,167
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,61
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,173
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,13
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,38
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,13
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,1
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,212
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,193
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,29
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,3
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,128
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,19
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,46
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,14
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,100
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,50
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,269
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,76
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,109
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,139
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,18
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,66
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,53
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,124
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,29
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,48
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,10
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,70
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,13
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,110
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,28
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,39
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,113
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,78
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,73
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,62
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,14
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,184
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,169
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,17
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,12
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,22
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,8
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,84
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,180
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,125
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,53
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,18
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,84
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,75
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,75
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,219
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,107
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,52
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,47
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,53
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,52
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,110
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,36
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,28
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,113
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,65
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,93
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,140
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,219
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,90
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,100
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,84
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,73
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,156
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,36
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,2
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,97
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,74
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,62
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,39
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,6
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,24
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,212
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,19
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,70
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,42
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,23
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,116
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,46
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,14
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,11
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,16
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,20
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,289
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,200
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,257
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,181
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,42
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,91
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,47
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,9
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,131
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,155
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,94
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,121
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,99
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,27
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,84
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,40
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,50
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,71
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,8
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,69
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,28
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,1
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,25
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,209
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,34
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,115
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,8
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,33
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,106
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,98
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,21
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,62
BarabasiAlbert,0.03970,1.6,1,0.8,0,5,99
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,80
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,45
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,148
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,19
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,54
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,62
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,76
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,71
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,8
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,65
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,15
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,51
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,21
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,8
BarabasiAlbert,0.03970,1.6,3,0.8,0,5,100
BarabasiAlbert,0.03970,1.6,4,0.8,0,5,163
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,12
BarabasiAlbert,0.03970,1.6,2,0.8,0,5,26
