DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,OperationCount
BarabasiAlbert,0.01994975,1.1,3,0.8,0,305
BarabasiAlbert,0.01994975,1.1,3,0.8,0,334
BarabasiAlbert,0.01994975,1.1,3,0.8,0,276
BarabasiAlbert,0.01994975,1.1,3,0.8,0,24
BarabasiAlbert,0.01994975,1.1,3,0.8,0,50
BarabasiAlbert,0.01994975,1.1,3,0.8,0,328
BarabasiAlbert,0.01994975,1.1,3,0.8,0,214
BarabasiAlbert,0.01994975,1.1,3,0.8,0,20
BarabasiAlbert,0.01994975,1.1,3,0.8,0,150
BarabasiAlbert,0.01994975,1.1,3,0.8,0,63
BarabasiAlbert,0.01994975,1.1,3,0.8,0,5
BarabasiAlbert,0.01994975,1.1,3,0.8,0,82
BarabasiAlbert,0.01994975,1.1,3,0.8,0,332
BarabasiAlbert,0.01994975,1.1,3,0.8,0,257
BarabasiAlbert,0.01994975,1.1,3,0.8,0,274
BarabasiAlbert,0.01994975,1.1,3,0.8,0,65
BarabasiAlbert,0.01994975,1.1,3,0.8,0,225
BarabasiAlbert,0.01994975,1.1,3,0.8,0,117
BarabasiAlbert,0.01994975,1.1,3,0.8,0,200
BarabasiAlbert,0.01994975,1.1,3,0.8,0,99
BarabasiAlbert,0.01994975,1.1,3,0.8,0,286
BarabasiAlbert,0.01994975,1.1,3,0.8,0,214
BarabasiAlbert,0.01994975,1.1,3,0.8,0,111
BarabasiAlbert,0.01994975,1.1,3,0.8,0,287
BarabasiAlbert,0.01994975,1.1,3,0.8,0,143
BarabasiAlbert,0.01994975,1.1,3,0.8,0,342
BarabasiAlbert,0.01994975,1.1,3,0.8,0,267
BarabasiAlbert,0.01994975,1.1,3,0.8,0,26
BarabasiAlbert,0.01994975,1.1,3,0.8,0,46
BarabasiAlbert,0.01994975,1.1,3,0.8,0,103
BarabasiAlbert,0.01994975,1.1,3,0.8,0,250
BarabasiAlbert,0.01994975,1.1,3,0.8,0,139
BarabasiAlbert,0.01994975,1.1,3,0.8,0,78
BarabasiAlbert,0.01994975,1.1,3,0.8,0,229
BarabasiAlbert,0.01994975,1.1,3,0.8,0,31
BarabasiAlbert,0.01994975,1.1,3,0.8,0,28
BarabasiAlbert,0.01994975,1.1,3,0.8,0,130
BarabasiAlbert,0.01994975,1.1,3,0.8,0,140
BarabasiAlbert,0.01994975,1.1,3,0.8,0,87
BarabasiAlbert,0.01994975,1.1,3,0.8,0,101
BarabasiAlbert,0.01994975,1.1,3,0.8,0,158
BarabasiAlbert,0.01994975,1.1,3,0.8,0,75
BarabasiAlbert,0.01994975,1.1,3,0.8,0,300
BarabasiAlbert,0.01994975,1.1,3,0.8,0,211
BarabasiAlbert,0.01994975,1.1,3,0.8,0,131
BarabasiAlbert,0.01994975,1.1,3,0.8,0,135
BarabasiAlbert,0.01994975,1.1,3,0.8,0,63
BarabasiAlbert,0.01994975,1.1,3,0.8,0,300
BarabasiAlbert,0.01994975,1.1,3,0.8,0,298
BarabasiAlbert,0.01994975,1.1,3,0.8,0,39
BarabasiAlbert,0.01994975,1.1,3,0.8,0,47
BarabasiAlbert,0.01994975,1.1,3,0.8,0,177
BarabasiAlbert,0.01994975,1.1,3,0.8,0,156
BarabasiAlbert,0.01994975,1.1,3,0.8,0,287
BarabasiAlbert,0.01994975,1.1,3,0.8,0,215
BarabasiAlbert,0.01994975,1.1,3,0.8,0,341
BarabasiAlbert,0.01994975,1.1,3,0.8,0,14
BarabasiAlbert,0.01994975,1.1,3,0.8,0,344
BarabasiAlbert,0.01994975,1.1,3,0.8,0,130
BarabasiAlbert,0.01994975,1.1,3,0.8,0,25
BarabasiAlbert,0.01994975,1.1,3,0.8,0,191
BarabasiAlbert,0.01994975,1.1,3,0.8,0,281
BarabasiAlbert,0.01994975,1.1,3,0.8,0,185
BarabasiAlbert,0.01994975,1.1,3,0.8,0,278
BarabasiAlbert,0.01994975,1.1,3,0.8,0,313
BarabasiAlbert,0.01994975,1.1,3,0.8,0,95
BarabasiAlbert,0.01994975,1.1,3,0.8,0,244
BarabasiAlbert,0.01994975,1.1,3,0.8,0,185
BarabasiAlbert,0.01994975,1.1,3,0.8,0,19
BarabasiAlbert,0.01994975,1.1,3,0.8,0,92
BarabasiAlbert,0.01994975,1.1,3,0.8,0,171
BarabasiAlbert,0.01994975,1.1,3,0.8,0,81
BarabasiAlbert,0.01994975,1.1,3,0.8,0,53
