DataSet,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,GoalPriority,OperationCount
WattsStrogatz,0.03015,1.2,3,0.8,0,5,23
WattsStrogatz,0.03015,1.2,3,0.8,0,5,29
WattsStrogatz,0.03015,1.2,3,0.8,0,5,78
WattsStrogatz,0.03015,1.2,3,0.8,0,5,94
WattsStrogatz,0.03015,1.2,3,0.8,0,5,60
WattsStrogatz,0.03015,1.2,3,0.8,0,5,45
WattsStrogatz,0.03015,1.2,3,0.8,0,5,81
WattsStrogatz,0.03015,1.2,3,0.8,0,5,78
WattsStrogatz,0.03015,1.2,3,0.8,0,5,150
WattsStrogatz,0.03015,1.2,3,0.8,0,5,19
WattsStrogatz,0.03015,1.2,3,0.8,0,5,15
WattsStrogatz,0.03015,1.2,3,0.8,0,5,147
WattsStrogatz,0.03015,1.2,3,0.8,0,5,52
WattsStrogatz,0.03015,1.2,3,0.8,0,5,149
WattsStrogatz,0.03015,1.2,3,0.8,0,5,26
WattsStrogatz,0.03015,1.2,3,0.8,0,5,116
WattsStrogatz,0.03015,1.2,3,0.8,0,5,36
WattsStrogatz,0.03015,1.2,3,0.8,0,5,101
WattsStrogatz,0.03015,1.2,3,0.8,0,5,4
WattsStrogatz,0.03015,1.2,3,0.8,0,5,34
WattsStrogatz,0.03015,1.2,3,0.8,0,5,37
WattsStrogatz,0.03015,1.2,3,0.8,0,5,130
WattsStrogatz,0.03015,1.2,3,0.8,0,5,164
WattsStrogatz,0.03015,1.2,3,0.8,0,5,60
WattsStrogatz,0.03015,1.2,3,0.8,0,5,37
WattsStrogatz,0.03015,1.2,3,0.8,0,5,76
WattsStrogatz,0.03015,1.2,3,0.8,0,5,45
WattsStrogatz,0.03015,1.2,3,0.8,0,5,22
WattsStrogatz,0.03015,1.2,3,0.8,0,5,113
WattsStrogatz,0.03015,1.2,3,0.8,0,5,27
WattsStrogatz,0.03015,1.2,3,0.8,0,5,40
WattsStrogatz,0.03015,1.2,3,0.8,0,5,170
WattsStrogatz,0.03015,1.2,3,0.8,0,5,24
